exe,tag,threads,schedule,chunk,md5_ok,time_ms
a_tc3_dynamic_256,A_tc3_t1_dynamic_256,1,baked,baked,1,1956
a_tc3_dynamic_256,A_tc3_t2_dynamic_256,2,baked,baked,1,1675
a_tc3_dynamic_256,A_tc3_t4_dynamic_256,4,baked,baked,1,1554
a_tc3_dynamic_256,A_tc3_t8_dynamic_256,8,baked,baked,1,1486
a_tc3_dynamic_256,A_tc3_t16_dynamic_256,16,baked,baked,1,1456
a_tc3_dynamic_256,A_tc3_t32_dynamic_256,32,baked,baked,1,1483
a_tc3_dynamic_1024,A_tc3_t1_dynamic_1024,1,baked,baked,1,1995
a_tc3_dynamic_1024,A_tc3_t2_dynamic_1024,2,baked,baked,1,1720
a_tc3_dynamic_1024,A_tc3_t4_dynamic_1024,4,baked,baked,1,2044
a_tc3_dynamic_1024,A_tc3_t8_dynamic_1024,8,baked,baked,1,1539
a_tc3_dynamic_1024,A_tc3_t16_dynamic_1024,16,baked,baked,1,1486
a_tc3_dynamic_1024,A_tc3_t32_dynamic_1024,32,baked,baked,1,1466
a_tc3_guided,A_tc3_t1_guided,1,baked,baked,1,1974
a_tc3_guided,A_tc3_t2_guided,2,baked,baked,1,1749
a_tc3_guided,A_tc3_t4_guided,4,baked,baked,1,1592
a_tc3_guided,A_tc3_t8_guided,8,baked,baked,1,1496
a_tc3_guided,A_tc3_t16_guided,16,baked,baked,1,1435
a_tc3_guided,A_tc3_t32_guided,32,baked,baked,1,1431
a_tc3_guided_64,A_tc3_t1_guided_64,1,baked,baked,1,1918
a_tc3_guided_64,A_tc3_t2_guided_64,2,baked,baked,1,1665
a_tc3_guided_64,A_tc3_t4_guided_64,4,baked,baked,1,1550
a_tc3_guided_64,A_tc3_t8_guided_64,8,baked,baked,1,1493
a_tc3_guided_64,A_tc3_t16_guided_64,16,baked,baked,1,1432
a_tc3_guided_64,A_tc3_t32_guided_64,32,baked,baked,1,1411
a_tc3_guided_256,A_tc3_t1_guided_256,1,baked,baked,1,1910
a_tc3_guided_256,A_tc3_t2_guided_256,2,baked,baked,1,1670
a_tc3_guided_256,A_tc3_t4_guided_256,4,baked,baked,1,1544
a_tc3_guided_256,A_tc3_t8_guided_256,8,baked,baked,1,1513
a_tc3_guided_256,A_tc3_t16_guided_256,16,baked,baked,1,1455
a_tc3_guided_256,A_tc3_t32_guided_256,32,baked,baked,1,1448
a_tc3_guided_1024,A_tc3_t1_guided_1024,1,baked,baked,1,1900
a_tc3_guided_1024,A_tc3_t2_guided_1024,2,baked,baked,1,1675
a_tc3_guided_1024,A_tc3_t4_guided_1024,4,baked,baked,1,1556
a_tc3_guided_1024,A_tc3_t8_guided_1024,8,baked,baked,1,1480
a_tc3_guided_1024,A_tc3_t16_guided_1024,16,baked,baked,1,1439
a_tc3_guided_1024,A_tc3_t32_guided_1024,32,baked,baked,1,1439
a_tc3_static,A_tc3_t1_static,1,baked,baked,1,1918
a_tc3_static,A_tc3_t2_static,2,baked,baked,1,1685
a_tc3_static,A_tc3_t4_static,4,baked,baked,1,1547
a_tc3_static,A_tc3_t8_static,8,baked,baked,1,1487
a_tc3_static,A_tc3_t16_static,16,baked,baked,1,1445
a_tc3_static,A_tc3_t32_static,32,baked,baked,1,1431
a_tc3_static_64,A_tc3_t1_static_64,1,baked,baked,1,1957
a_tc3_static_64,A_tc3_t2_static_64,2,baked,baked,1,1694
a_tc3_static_64,A_tc3_t4_static_64,4,baked,baked,1,1539
a_tc3_static_64,A_tc3_t8_static_64,8,baked,baked,1,1478
a_tc3_static_64,A_tc3_t16_static_64,16,baked,baked,1,1450
a_tc3_static_64,A_tc3_t32_static_64,32,baked,baked,1,1443
a_tc3_static_256,A_tc3_t1_static_256,1,baked,baked,1,1940
a_tc3_static_256,A_tc3_t2_static_256,2,baked,baked,1,1662
a_tc3_static_256,A_tc3_t4_static_256,4,baked,baked,1,1543
a_tc3_static_256,A_tc3_t8_static_256,8,baked,baked,1,1480
a_tc3_static_256,A_tc3_t16_static_256,16,baked,baked,1,2550
a_tc3_static_256,A_tc3_t32_static_256,32,baked,baked,1,1419
a_tc3_static_1024,A_tc3_t1_static_1024,1,baked,baked,1,1908
a_tc3_static_1024,A_tc3_t2_static_1024,2,baked,baked,1,1653
a_tc3_static_1024,A_tc3_t4_static_1024,4,baked,baked,1,1528
a_tc3_static_1024,A_tc3_t8_static_1024,8,baked,baked,1,1482
a_tc3_static_1024,A_tc3_t16_static_1024,16,baked,baked,1,1434
a_tc3_static_1024,A_tc3_t32_static_1024,32,baked,baked,1,1528
a_tc4,A_tc4_t1_a_tc4,1,baked,baked,1,1660
a_tc4,A_tc4_t2_a_tc4,2,baked,baked,1,1547
a_tc4,A_tc4_t4_a_tc4,4,baked,baked,1,1496
a_tc4,A_tc4_t8_a_tc4,8,baked,baked,1,1435
a_tc4,A_tc4_t16_a_tc4,16,baked,baked,1,1420
a_tc4,A_tc4_t32_a_tc4,32,baked,baked,1,1449
b_tc1_auto,B_tc1_t1_auto,1,baked,baked,1,9609
b_tc1_auto,B_tc1_t2_auto,2,baked,baked,1,14091
b_tc1_auto,B_tc1_t4_auto,4,baked,baked,1,39153
b_tc1_auto,B_tc1_t8_auto,8,baked,baked,1,54839
b_tc1_auto,B_tc1_t16_auto,16,baked,baked,1,91257
b_tc1_auto,B_tc1_t32_auto,32,baked,baked,1,168852
b_tc1_dynamic,B_tc1_t1_dynamic,1,baked,baked,1,9190
b_tc1_dynamic,B_tc1_t2_dynamic,2,baked,baked,1,12948
b_tc1_dynamic,B_tc1_t4_dynamic,4,baked,baked,1,39312
b_tc1_dynamic,B_tc1_t8_dynamic,8,baked,baked,1,53109
b_tc1_dynamic,B_tc1_t16_dynamic,16,baked,baked,1,86830
b_tc1_dynamic,B_tc1_t32_dynamic,32,baked,baked,1,168082
b_tc1_dynamic_64,B_tc1_t1_dynamic_64,1,baked,baked,1,9353
b_tc1_dynamic_64,B_tc1_t2_dynamic_64,2,baked,baked,1,13698
b_tc1_dynamic_64,B_tc1_t4_dynamic_64,4,baked,baked,1,40205
b_tc1_dynamic_64,B_tc1_t8_dynamic_64,8,baked,baked,1,52980
b_tc1_dynamic_64,B_tc1_t16_dynamic_64,16,baked,baked,1,87576
b_tc1_dynamic_64,B_tc1_t32_dynamic_64,32,baked,baked,1,166526
b_tc1_dynamic_256,B_tc1_t1_dynamic_256,1,baked,baked,1,9397
b_tc1_dynamic_256,B_tc1_t2_dynamic_256,2,baked,baked,1,13265
b_tc1_dynamic_256,B_tc1_t4_dynamic_256,4,baked,baked,1,42270
b_tc1_dynamic_256,B_tc1_t8_dynamic_256,8,baked,baked,1,53154
b_tc1_dynamic_256,B_tc1_t16_dynamic_256,16,baked,baked,1,87715
b_tc1_dynamic_256,B_tc1_t32_dynamic_256,32,baked,baked,1,169195
b_tc1_dynamic_1024,B_tc1_t1_dynamic_1024,1,baked,baked,1,9504
b_tc1_dynamic_1024,B_tc1_t2_dynamic_1024,2,baked,baked,1,13468
b_tc1_dynamic_1024,B_tc1_t4_dynamic_1024,4,baked,baked,1,37750
b_tc1_dynamic_1024,B_tc1_t8_dynamic_1024,8,baked,baked,1,53673
b_tc1_dynamic_1024,B_tc1_t16_dynamic_1024,16,baked,baked,1,87349
b_tc1_dynamic_1024,B_tc1_t32_dynamic_1024,32,baked,baked,1,165362
b_tc1_guided,B_tc1_t1_guided,1,baked,baked,1,9250
b_tc1_guided,B_tc1_t2_guided,2,baked,baked,1,13035
b_tc1_guided,B_tc1_t4_guided,4,baked,baked,1,39485
b_tc1_guided,B_tc1_t8_guided,8,baked,baked,1,51283
b_tc1_guided,B_tc1_t16_guided,16,baked,baked,1,103947
b_tc1_guided,B_tc1_t32_guided,32,baked,baked,1,166265
b_tc1_guided_64,B_tc1_t1_guided_64,1,baked,baked,1,9315
b_tc1_guided_64,B_tc1_t2_guided_64,2,baked,baked,1,13244
b_tc1_guided_64,B_tc1_t4_guided_64,4,baked,baked,1,40117
b_tc1_guided_64,B_tc1_t8_guided_64,8,baked,baked,1,53903
b_tc1_guided_64,B_tc1_t16_guided_64,16,baked,baked,1,88913
b_tc1_guided_64,B_tc1_t32_guided_64,32,baked,baked,1,164899
b_tc1_guided_256,B_tc1_t1_guided_256,1,baked,baked,1,9370
b_tc1_guided_256,B_tc1_t2_guided_256,2,baked,baked,1,13499
b_tc1_guided_256,B_tc1_t4_guided_256,4,baked,baked,1,38173
b_tc1_guided_256,B_tc1_t8_guided_256,8,baked,baked,1,52827
b_tc1_guided_256,B_tc1_t16_guided_256,16,baked,baked,1,85878
b_tc1_guided_256,B_tc1_t32_guided_256,32,baked,baked,1,161182
b_tc1_guided_1024,B_tc1_t1_guided_1024,1,baked,baked,1,9197
b_tc1_guided_1024,B_tc1_t2_guided_1024,2,baked,baked,1,12958
b_tc1_guided_1024,B_tc1_t4_guided_1024,4,baked,baked,1,37387
b_tc1_guided_1024,B_tc1_t8_guided_1024,8,baked,baked,1,53062
b_tc1_guided_1024,B_tc1_t16_guided_1024,16,baked,baked,1,85462
b_tc1_guided_1024,B_tc1_t32_guided_1024,32,baked,baked,1,159166
b_tc1_static,B_tc1_t1_static,1,baked,baked,1,8914
b_tc1_static,B_tc1_t2_static,2,baked,baked,1,12690
b_tc1_static,B_tc1_t4_static,4,baked,baked,1,36572
b_tc1_static,B_tc1_t8_static,8,baked,baked,1,48730
b_tc1_static,B_tc1_t16_static,16,baked,baked,1,80816
b_tc1_static,B_tc1_t32_static,32,baked,baked,1,154732
b_tc1_static_64,B_tc1_t1_static_64,1,baked,baked,1,8759
b_tc1_static_64,B_tc1_t2_static_64,2,baked,baked,1,12738
b_tc1_static_64,B_tc1_t4_static_64,4,baked,baked,1,35885
b_tc1_static_64,B_tc1_t8_static_64,8,baked,baked,1,50240
b_tc1_static_64,B_tc1_t16_static_64,16,baked,baked,1,82922
b_tc1_static_64,B_tc1_t32_static_64,32,baked,baked,1,156848
b_tc1_static_256,B_tc1_t1_static_256,1,baked,baked,1,8859
b_tc1_static_256,B_tc1_t2_static_256,2,baked,baked,1,12823
b_tc1_static_256,B_tc1_t4_static_256,4,baked,baked,1,36621
b_tc1_static_256,B_tc1_t8_static_256,8,baked,baked,1,49181
b_tc1_static_256,B_tc1_t16_static_256,16,baked,baked,1,81174
b_tc1_static_256,B_tc1_t32_static_256,32,baked,baked,1,157685
b_tc1_static_1024,B_tc1_t1_static_1024,1,baked,baked,1,10442
b_tc1_static_1024,B_tc1_t2_static_1024,2,baked,baked,1,14122
